
MaLopHocQuyUoc~MaKhoaHocQuyUoc~MaNganhQuyUoc~MaMonHoc~MaChuongTrinhDaoTao~SoDungKhoaChuaThi~SoDungKhoa~SoDaThi~SoDat~TongSo~NgayDiem~MaLopHoc~MaKhoaHoc~MaNganh
--------------~---------------~-------------~--------~-------------------~-----------------~----------~-------~-----~------~--------~--------~---------~-------
KS2-C11~C11~KS~ATANNHKS~60_200000116~0~31~32~32~32~2020-09-09 10:29:00~KS2-C11~C11~6810201
KS1-C11~C11~KS~ATANNHKS~60_200000116~0~1~1~1~1~2020-09-09 10:42:00~KS1-C11~C11~6810201
KS3-C11~C11~KS~ATANNHKS~60_200000116~0~32~32~32~32~2020-09-09 10:42:00~KS3-C11~C11~6810201
NH-C11~C11~NH~ATANNHKS~60_200000129~0~31~32~32~32~2020-11-04 08:34:00~NH1-C11~C11~6810206
LT-C11~C11~LT~ATANNHKS~60_200000132~0~12~13~13~13~2020-11-24 15:41:00~LT1-C11~C11~6810203
LT-C13~C13~LT~ATANNHKS~60_200000276~1~9~8~8~9~2021-03-03 09:53:00~LT-C13~C13~6810203
KS1-C12~C12~KS~ATANNHKS~60_210000039~0~30~31~31~31~2021-04-15 14:30:00~KS1-C12~C12~6810201
KS2-C12~C12~KS~ATANNHKS~60_210000039~0~26~26~26~26~2021-04-15 14:35:00~KS2-C12~C12~6810201
KS3-C12~C12~KS~ATANNHKS~60_210000039~0~29~29~28~29~2022-04-19 15:53:00~KS3-C12~C12~6810201
KS-C12HT~C12HT~KS~ATANNHKS~60_210000051~0~34~34~34~34~2022-02-09 14:44:00~KS-C12HT~C12HT~6810201
BU-T45PQ~T45~BU~ATB~46_190000203~0~22~22~22~22~2019-04-03 16:57:00~BU-T45PQ~T45~5810204
KT-C10~C10~KT~AVCB~46_170000173~0~23~23~23~23~2018-04-27 15:01:00~17CKT1~CĐN_K10~50340301
CB-T43N~T43~CB~AVCB~46_170000179~0~12~12~12~12~2017-10-12 16:27:00~16TNBE0~TCN_K43~40810204
HD-C10~C10~HD~AVCB~46_170000271~0~5~5~5~5~2018-04-27 14:59:00~17CHD1~CĐN_K10~50510102
KT-C07~C07~KT~AVCB1~46_170000190~0~13~13~13~13~2017-10-17 09:58:00~14CKT0~CĐN_K7~50340301
KT-C08~C08~KT~AVCB1~46_180000240~0~19~20~20~20~2018-07-23 15:37:00~15CKT0~CĐN_K8~50340301
KT-C09~C09~KT~AVCB1~46_190000063~0~14~14~14~14~2019-01-28 16:25:00~16CKT0~CĐN_K9~50340301
KT-C07~C07~KT~AVCB2~46_170000191~0~13~13~13~13~2017-10-17 10:23:00~14CKT0~CĐN_K7~50340301
KT-C08~C08~KT~AVCB2~46_180000241~0~19~20~20~20~2018-07-23 15:44:00~15CKT0~CĐN_K8~50340301
KT-C09~C09~KT~AVCB2~46_190000064~0~14~14~14~14~2019-01-28 16:26:00~16CKT0~CĐN_K9~50340301
KT-C07~C07~KT~AVCB3~46_170000192~0~13~13~13~13~2017-10-17 13:48:00~14CKT0~CĐN_K7~50340301
KT-C09~C09~KT~AVCB3~46_170000279~0~14~14~14~14~2018-03-19 11:18:00~16CKT0~CĐN_K9~50340301
KT-C08~C08~KT~AVCB3~46_180000243~0~19~20~20~20~2018-07-23 15:47:00~15CKT0~CĐN_K8~50340301
KT-C07~C07~KT~AVCB4~46_170000193~0~13~13~13~13~2017-10-17 14:08:00~14CKT0~CĐN_K7~50340301
KT-C09~C09~KT~AVCB4~46_180000091~0~14~14~14~14~2018-08-23 08:25:00~16CKT0~CĐN_K9~50340301
KT-C08~C08~KT~AVCB4~46_180000244~0~19~20~20~20~2018-07-23 15:50:00~15CKT0~CĐN_K8~50340301
KT-C07~C07~KT~AVCN1~46_170000194~0~13~13~13~13~2017-10-17 14:18:00~14CKT0~CĐN_K7~50340301
KT-C08~C08~KT~AVCN1~46_170000225~0~19~20~20~20~2017-11-30 10:58:00~15CKT0~CĐN_K8~50340301
CB-T44~T44~CB~AVCN1~46_180000136~0~14~14~11~14~2018-08-10 16:34:00~17TBE1~TC_K44~42810203
KS1-C10~C10~KS~AVCN1~46_180000312~0~22~29~29~29~2019-01-04 07:57:00~17CQK1~CĐN_K10~50810207
KS2-C10~C10~KS~AVCN1~46_180000312~0~27~27~26~27~2019-01-04 08:00:00~17CQK2~CĐN_K10~50810207
KS3-C10~C10~KS~AVCN1~46_180000312~0~29~30~30~30~2019-01-04 08:03:00~17CQK3~CĐN_K10~50810207
KT-C07~C07~KT~AVCN2~46_170000195~0~13~13~13~13~2017-10-17 14:25:00~14CKT0~CĐN_K7~50340301
KT-C08~C08~KT~AVCN2~46_180000109~1~19~19~19~20~2018-07-23 10:44:00~15CKT0~CĐN_K8~50340301
CB1-C10~C10~CB~BANH 3~46_190000104~0~19~21~18~21~2019-07-09 15:52:00~17CBE1~CĐN_K10~50810204
CB2-C10~C10~CB~BANH 3~46_190000104~0~25~25~23~25~2019-07-09 16:14:00~17CBE2~CĐN_K10~50810204
LT-T41~T41~LT~BCLT~29_140000498~0~11~11~11~11~2016-03-15 16:21:00~14TLT0~TCCN_K41~42810201
LT-T40~T40~LT~BCLT~31_140000182~1~25~24~24~25~2015-06-26 08:55:00~13TLT0~TCCN_K40~42810201
LT-C07~C07~LT~BCLT~46_160000147~0~25~26~25~26~2017-06-12 09:17:00~14CLT0~CĐN_K7~50810201
LT1-C06~C06~LT~BCLT~46_160000192~0~33~33~31~33~2016-10-24 10:35:00~13CLT1~CĐN_K6~50810201
LT-C08~C08~LT~BCLT~46_160000267~0~13~13~13~13~2017-08-15 09:18:00~15CLT0~CĐN_K8~50810201
LT-T42~T42~LT~BCLT~46_160000292~0~13~13~13~13~2017-03-23 14:46:00~15TLT0~TCCN_K42~42810201
LT-C10~C10~LT~BCLT~46_160000292~0~0~0~0~0~2017-03-23 14:46:00~17CLT1~CĐN_K10~50810201
LT-C09~C09~LT~BCLT~46_180000074~0~11~11~11~11~2018-07-23 15:01:00~16CLT0~CĐN_K9~50810201
LT-T43~T43~LT~BCLT~46_180000117~0~11~13~10~13~2018-07-17 16:04:00~16TLT0~TCCN_K43~42810201
LT-T44PQ~T44~LT~BCLT~46_180000199~0~27~27~21~27~2019-02-20 15:37:00~17TLT2PQ~TC_K44~42810201
LT-C10~C10~LT~BCLT~46_190000094~0~18~19~18~19~2019-07-15 15:48:00~17CLT1~CĐN_K10~50810201
LT-T45~T45~LT~BCLT~46_190000239~0~2~2~2~2~2019-12-03 09:16:00~LT1-T45~T45~5810203
LT1-T45PQ~T45~LT~BCLT~46_190000239~0~19~19~19~19~2019-11-12 15:45:00~LT1-T45PQ~T45~5810203
LT2-T45PQ~T45~LT~BCLT~46_190000239~0~23~23~16~23~2020-05-26 14:51:00~LT2-T45PQ~T45~5810203
LT-C11~C11~LT~BCLT~60_200000122~0~12~13~13~13~2020-06-02 15:06:00~LT1-C11~C11~6810203
LT-C12~C12~LT~BCLT~60_210000060~0~19~19~18~19~2021-05-19 08:27:00~LT-C12~C12~6810203
LT-C13~C13~LT~BCLT~60_210000186~0~9~9~9~9~2022-05-23 16:13:00~LT-C13~C13~6810203
HD-C07~C07~HD~BCTTTN~46_170000158~0~5~5~5~5~2017-10-12 15:46:00~14CHD0~CĐN_K7~50510102
KT-C07~C07~KT~BCTTTN~46_170000159~1~13~12~12~13~2018-09-11 10:56:00~14CKT0~CĐN_K7~50340301
LT-C07~C07~LT~BCTTTN~46_170000160~0~25~25~25~26~2017-10-12 16:14:00~14CLT0~CĐN_K7~50810201
KS1-C07~C07~KS~BCTTTN~46_170000161~2~21~19~19~21~2018-09-10 16:00:00~14CQKS1~CĐN_K7~50810207
KS2-C07~C07~KS~BCTTTN~46_170000161~6~18~12~12~18~2017-10-12 16:26:00~14CQKS2~CĐN_K7~50810207
KS3-C07~C07~KS~BCTTTN~46_170000161~0~26~26~26~26~2017-10-12 16:27:00~14CQKS3~CĐN_K7~50810207
KS4-C07~C07~KS~BCTTTN~46_170000161~0~16~16~15~16~2017-10-12 16:28:00~14CQKS4~CĐN_K7~50810207
NH1-C07~C07~NH~BCTTTN~46_170000162~6~25~20~20~26~2017-10-12 15:58:00~14CQN1~CĐN_K7~50810203
NH2-C07~C07~NH~BCTTTN~46_170000162~3~22~21~21~25~2018-09-14 13:26:00~14CQN2~CĐN_K7~50810203
CB1-C07~C07~CB~BCTTTN~46_170000163~7~27~20~20~27~2017-10-12 15:50:00~14CBE1~CĐN_K7~50810204
CB2-C07~C07~CB~BCTTTN~46_170000163~4~20~17~17~21~2017-10-12 15:48:00~14CBE 2~CĐN_K7~50810204
CB-T42~T42~CB~BCTTTN~46_170000164~0~33~33~29~33~2018-09-14 17:01:00~15TBE0~TCCN_K42~42810203
LT-T42~T42~LT~BCTTTN~46_170000165~0~13~13~13~13~2017-10-16 09:56:00~15TLT0~TCCN_K42~42810201
LT-C10~C10~LT~BCTTTN~46_170000165~0~0~0~0~0~2017-10-16 09:56:00~17CLT1~CĐN_K10~50810201
TA-T42~T42~TA~BCTTTN~46_170000166~0~9~10~10~10~2017-10-16 09:58:00~15TTA0~TCCN_K42~42220201
NH1-T45PQ~T45~NH~BCTTTN~46_190000236~0~23~23~22~23~2020-05-20 09:12:00~NH1-T45PQ~T45~5810206
NH2-T45PQ~T45~NH~BCTTTN~46_190000236~0~27~27~24~27~2020-05-22 13:56:00~NH2-T45PQ~T45~5810206
CB-T43N~T43~CB~CBB_MTM~46_180000215~0~12~12~8~12~2018-06-11 16:57:00~16TNBE0~TCN_K43~40810204
CB1-C07~C07~CB~CBB_MTM1~29_140000291~1~27~26~24~27~2016-03-16 07:42:00~14CBE1~CĐN_K7~50810204
CB2-C07~C07~CB~CBB_MTM1~29_140000291~0~20~21~18~21~2016-03-16 07:42:00~14CBE 2~CĐN_K7~50810204
